medio,titular_raw,titular_lem
clarin,"ranking atp: sin cambios ni argentinos en el top ten, sigue la caída de del potro mientras se esfuerza por volver a jugar ",ranking atpo cambio argentino top tar seguir caída potro mientras esforzar volver jugar
clarin,edificios inclinados: un mundo más allá de la torre de pisa ,edificio inclinado mundo más allá torre pisar
clarin,las tres nuevas funciones que whatsapp lanzará en los próximos meses ,tres nuevo función whatsar lanzar próximo mes
clarin,cómo vivió carlos gardel la final del mundial del 30 ,vivir car gardel final mundial 30
clarin,trabajo y turismo: cuál es el plan de la ciudad de buenos aires para atraer a los nómades digitales ,trabajo turismo ser plan ciudad buen aire atraer nómade digital
cronica,"¿quién es ""doña lorenza sola""?: vive a más de 4.000 metros de altura, tiene 84 años y fue trasladada tras descompensarse",ser doña lorenza solo vivir más 4000 metro altura tener 84 año ser trasladar descompensar
cronica,cepa delta: brasil confirmó el segundo fallecido por la variante de covid,cepa delta brasil confirmar segundo fallecido variante covid
cronica,una mujer sufrió dolores en su nariz durante 37 años y un hisopado reveló el curioso motivo,mujer sufrir dolor nariz 37 año hisopado revelar curioso motivo
cronica,¿genialidad o tortura?: crearon un dispositivo que ayuda a adelgazar cerrando los dientes con un candado,genialidad tortura crear dispositivo ayudar adelgazar cerrar diente candado
cronica,derrumbe en miami: ya son 10 las víctimas fatales,derrumbe miami ya ser 10 víctima fatal
cronica,"sexo: la frase que siempre funciona en la cama, según expertos",sexo frase siempre funcionar cama experto
cronica,vacuna covid: más del 35% de los argentinos ya recibió la primera dosis,vacuna covid más 35/100 argentino ya recibir primero dosis
cronica,capturan a policía retirado que era buscado por violar a su sobrina,capturar policía retirado que ser buscar violar sobrina
cronica,el peligroso avance de la variante delta en el mundo: cifras récords y nuevas restricciones,peligroso avance variante delta mundo cifra récord nuevo restricción
cronica,"viviana canosa, en contra del lenguaje inclusivo: ""es solo para la pelotud..., me hago cargo""  la conductora sorprendió al hacer picantes declaraciones con respecto la lengua sin género.",viviana canoso contra lenguaje inclusivo ser solo pelotud hacer cargo conductora sorprender hacer picante declaración respecto lengua género
cronica,yao cabrera presentó a burlando como su abogado y alimentó el fuego contra maidana:ya nadie se puede arrepentir,cabrera presentar burlar como abogado alimentar fuego maidana ya poder arrepentirse
cronica,whatsapp web: ¿por qué se desconecta y cómo evitarlo?,whatsapp web desconectar evitar
cronica,covid y embarazo: respuestas a las dudas sobre la vacunación,covid embarazo respuesta duda vacunación
cronica,"vivan los novios: ¡se casó el doctor milagro!  taner ílmez, el actor de la exitosa serie turca llevó a su pareja al altar y dio el sí.",vivar novio casar doctor milagro taner ílmez actor exitoso serie turco llevar pareja altar dar
cronica,"¡el festejo de los famosos en el dia del orgullo lgtbiq+!  flor de la v, lizy tagliani, china suárez, jey mammón y más figuras celebraron la gran fecha con posteos en sus redes sociales. ",festejo famoso dia orgullo lgtbiq flor v lizy tagliani chino suárez jey mammón más figura celebrar gran fecha posteo red social
cronica,murió willy crook luego de permanecer en coma tras sufrir un acv  el músico de 55 años había padecido de un accidente cerebro vascular por el que fue inducido al coma farmacológico. pero por su delicado cuadro de salud falleció. ,morir willy crook luego permanecer coma sufrir acv músico 55 año haber padecer accidente cerebro vascular ser inducir coma farmacológico delicado cuadro salud fallecer
cronica,así increparon a daniel filmus en medio de un vuelo,así increpar daniel filmu medio vuelo
cronica,crimen del pescador en bahía blanca: 15 años de prisión para dos de los acusados,crimen pescador bahía blanco 15 año prisión dos acusado
cronica,ideas para una alimentación saludable en invierno,idea alimentación saludable invierno
cronica,"explosiva confesión de ximena capristo sobre gustavo conti: ""no lo aguanto más, está todo el día mirando mujeres""  tras el escándalo de infidelidad del actor, la mediática contó cómo se siente en la actualidad e insistió abrir la pareja.",explosivo confesión ximena capristo gustavo conti no aguantar más estar día mirar mujer escándalo infidelidad actor mediático contar sentir actualidad insistir abrir pareja
cronica,detienen a cuatro sospechosos por el doble crimen de los hermanos en mendoza,detener cuatro sospechoso doble crimen hermano mendoza
cronica,"polémica por la participación de jacinta sandoval en ""la voz"": es conocida de stefi roitman  después de que la joven eligiera a ricardo montaner como su coach, se conoció que es amiga de la conductora virtual.",polémica participación jacinta sandoval voz ser conocer stefi roitman después que joven elegir ricardo montaner como coach conocer que ser amiga conductora virtual
cronica,mauricio saldívar aseguró que podría nevar en la plata,mauricio saldívar asegurar que poder nevar plata
cronica,"leopoldo luque: ""jamás me representé la posibilidad de muerte de maradona""",leopoldo luque jamás representar posibilidad muerte maradona
cronica,avanza la demanda judicial de alberto fernández a patricia bullrich por sus dichos sobre pfizer,avanzar demanda judicial alberto fernández patricia bullrich dicho pfizer
cronica,"argentina podrá exportar bovinos, ovinos y caprinos a arabia saudita",argentino poder exportar bovino ovino caprino arabia saudito
cronica,"¿cómo es la mansión de 2 millones de dólares que wanda nara le reclama a maxi lópez?  a cambio de la gran deuda del futbolista por la manutención de sus hijos, la empresaria le exigió la lujosa propiedad que compartían en santa bárbara.",ser mansión 2 millón dólar wanda nara reclamar maxi lópez cambio gran deuda futbolista manutención hijo empresaria exigir lujoso propiedad compartir santo bárbaro
cronica,caso guadalupe lucero: cinco detenidos y once allanamientos,caso guadalupe lucero cinco detenido once allanamiento
cronica,"quiniela de la provincia: resultado de la vespertina de hoy, lunes 28 de junio",quiniela provincia resultado vespertina hoy lunes 28 junio
cronica,"quiniela de la ciudad: resultado de la vespertina de hoy, lunes 28 de junio",quiniela ciudad resultado vespertina hoy lunes 28 junio
cronica,mauricio macri fue imputado por supuesto enriquecimiento ilícito,mauricio macri ser imputado supuesto enriquecimiento ilícito
cronica,así extraditaron al ex represor chileno klug rivera,así extraditar ex represor chileno klug rivera
cronica,los signos que se enfrentarán a grandes cambios ,signo enfrentar grande cambio
cronica,la infidelidad le costó a matt hancock su puesto en el ministerio de salud británico,infidelidad costar matt hancock puesto ministerio salud británico
cronica,detienen a un hombre con más de 72 kilos de cocaína,detener hombre más 72 kilo cocaína
cronica,"cayó un policía acusado de vender droga: persecución, tiros y choque",caer policía acusado vender droga persecución tiro choque
cronica,caba: extienden por dos meses la moratoria para deudores de patentes y abl,caba extender dos mes moratoria deudor patente abl
cronica,"yao cabrera sobre el combate con el chino maidana: ""él no quiere hacer un show, quiere pelear de verdad""",cabrera combate chino maidano no querer hacer show querer pelear verdad
cronica,"sabrina rojas, tras su separación de luciano castro: ""a lo mejor volvemos""  la actriz contó detalles de su vínculo con el padre de sus hijos a poco más de un mes de conocerse su ruptura y sorprendió con sus dichos.",sabrina rojo separación luciano castro mejor volver actriz contar detalle vínculo padre hijo poco más mes conocer ruptura sorprender dicho
cronica,"cae mujer policía que integraba banda de gitanos: robaban autos y los vendían en redes sociales. ¿cómo ""lavaban"" el dinero sucio?",caer mujer policía integrar banda gitano robar auto vender red social lavar dinero sucio
cronica,la receta para hacer tres tipos de ñoquis: ¿por qué se comen los 29 de cada mes? ,receta hacer tres tipo ñoquis comer 29 mes
cronica,detalles aberrantes sobre la autopsia del almacenero brutalmente asesinado con un nunchaku,detalle aberrante autopsia almacenero brutalmente asesinado nunchaku
cronica,bonaerenses que vuelvan del exterior deberán quedarse 4 días en un hotel con el costo a su cargo,bonaerense volver exterior deber quedar 4 día hotel costo cargo
cronica,whatsapp: así funciona la herramienta para comprar y enviar dinero a tus contactos,whatsapp así funcionar herramienta comprar enviar dinero contacto
cronica,?vuelos cancelados: qué hacer con los pasajes,vuelo cancelado hacer pasaje
cronica,cae mujer policía que integraba banda de gitanos: robaban autos y los vendían en redes sociales,caer mujer policía integrar banda gitano robar auto vender red social
cronica,mayores de 18 años con comorbilidades podrán acercase a cualquier vacunatorio bonaerense sin turno para recibir la primera dosis,mayor 18 año comorbilidad poder acercar vacunatorio bonaerense turno recibir primero dosis
cronica,el insólito motivo que habría desencadenado el vuelco fatal del micro en chascomús en el que murieron dos personas y resultó herida una veintena,insólito motivo haber desencadenar vuelco fatal micro chascomús morir dos persona resultar herido veintena
cronica,"fue galán de hollywood, rechazó protagónicos en ""titanic"" y ""hombres de negro"", y ahora vende pizza",ser galán hollywood rechazar protagónico titanic hombre negro ahora vender pizza
cronica,"la estrategia de guido kaczka para ""bienvenidos a bordo""",estrategia guido kaczko bienvenido bordo
cronica,whatsapp: ¿cómo funciona la herramienta para comprar y enviar dinero a tus contactos?,whatsapp funcionar herramienta comprar enviar dinero contacto
cronica,laura novoa reveló cuánto cobró por conducir el homenaje a las víctimas del coronavirus  en las redes sociales se viralizó que a la actriz le pagaron 475 mil pesos por su participación y ella blanqueó la cifra.,laura novo revelar cobrar conducir homenaje víctima coronaviru red social viralizar que actriz pagar 475 mil peso participación blanquear cifra
cronica,whatsapp: una nueva función permite comprar y enviar dinero a los contactos,whatsapp nuevo función permitir comprar enviar dinero contacto
cronica,el insólito motivo que habría desencadenado el vuelco fatal del micro en chascomús,insólito motivo haber desencadenar vuelco fatal micro chascomús
cronica,la indignante declaración del sujeto que masacró a puñaladas y a golpes de nunchaku a un almacenero  porque no le quiso fiar una cerveza,indignante declaración sujeto masacrar puñalada golpe nunchaku almacenero porque no querer fiar cerveza
cronica,"la receta para hacer ñoquis con estofado, rellenos y de calabaza",receta hacer ñoquis estofado relleno calabaza
cronica,"florencia carignano: ""restringimos vuelos porque estamos preocupados por la entrada de la variante delta""",florencia carignano restringir vuelo porque estar preocupado entrada variante delta
cronica,"""no me escrachen, soy casado, estoy con mi amante"": el aberrante intento para engañar a la policía de un sujeto que estaba abusando a una nena en una camioneta",no escrachar ser casado estar amante aberrante intento engañar policía sujeto estar abusar nena camioneta
cronica,macabro: asesinaron a golpes y cuchilladas a un abogado en su propia casa,macabro asesinar golpe cuchillada abogado casa
cronica,"¿quién es victoria pardo, la mujer que desapareció mientras hacía kitesurf en san clemente? ¿cómo sigue su búsqueda?",ser victoria pardo mujer desaparecer mientras hacer kitesurf san clemente seguir búsqueda
cronica,"hallan asesinado a golpes y cuchilladas a un abogado en su propia casa, de donde faltó dinero y otros objetos de valor. sin embargo... ¿se trató de un simple robo?",hallar asesinado golpe cuchillada abogado casa faltar dinero objeto valor embargo tratar simple robo
cronica,la única científica extranjera del laboratorio de wuhan rompió el silencio: ¿qué dijo sobre el origen del coronavirus?,único científica extranjero laboratorio wuhan romper silencio decir origen coronaviru
cronica,aberrante: asesinaron a golpes y cuchillazos a abogado en su propia casa,aberrante asesinar golpe cuchillazo abogado casa
cronica,"¿quién es victoria pardo, la mujer que desapareció mientras hacía kitesurf en san clemente?",ser victoria pardo mujer desaparecer mientras hacer kitesurf san clemente
cronica,"francisco benítez, el cantante tartamudo que emocionó al jurado de ""la voz argentina""  el joven cordobés de 22 años hizo llorar a lali, ricardo montaner, sus hijos mau y ricky y a soledad pastorutti con su historia de vida. ¡mirá!",francisco benítez cantante tartamudo emocionar jurado voz argentino joven cordobés 22 año hacer llorar lali ricardo montaner hijo mau ricky soledad pastorutti historia vida mirá
cronica,"abusaba de una nena en la camioneta y llegó la policía: ""no me escrachen, soy casado, estoy con mi amante""",abusar nena camioneta llegar policía no escrachar ser casado estar amante
cronica,roberto piazza tuvo que poner en venta su casa por problemas económicos  el diseñador compartió un duro descargo por la grave situación financiera que atraviesa en medio de las restricciones por coronavirus y las cargas impositivas.,roberto piazza tener que poner venta casa problema económico diseñador compartir duro descargo grave situación financiero atravesar medio restricción coronaviru carga impositivo
cronica,la indignante declaración del sujeto que masacró a un almacenero porque no le fió una cerveza,indignante declaración sujeto masacrar almacenero porque no fiar cerveza
cronica,dos años sin héctor ricardo garcía,dos año héctor ricardo garcir
cronica,el desconsolado llanto de una mujer estafada por dos millones de pesos: ¿qué le pasó?,desconsolado llanto mujer estafado dos millón peso pasar
cronica,la única científica extranjera del laboratorio de wuhan rompió el silencio: ¿el covid salió de ahí?,único científica extranjero laboratorio wuhan romper silencio covid salir ahí
cronica,"yao cabrera habló de su pelea contra el ""chino"" maidana, no se achica y promete una definición por nocaut",yao cabrera hablar pelea chino maidano no achicar prometer definición nocaut
cronica,"""la voz argentina"" destrozó a ""periodismo para todos"" en el rating  en su primer domingo al aire, la competencia de canto conducida por marley logró imponerse contra el ciclo periodístico de jorge lanata. ",voz argentino destrozar periodismo rating primero domingo aire competencia canto conducido marley lograr imponer ciclo periodístico jorge lanata
cronica,una mujer sufrió dolores en su nariz durante 37 años: un hisopado para detectar covid-19 reveló el curioso motivo: ¿qué le pasó?,mujer sufrir dolor nariz 37 año hisopado detectar covid-19 revelar curioso motivo pasar
cronica,"tragedia en chascomús: 2 muertos y 20 heridos al volcar un micro. ocurrió en el kilómetro 134 de la autovía 2, sentido a la capital federal",tragedia chascomús 2 muerto 20 herido volcar micro ocurrir kilómetro 134 autovía 2 sentido capital federal
cronica,tengo algo para contarte... ¡más de 1.100 millones de pesos buscan dueño!,tener contar más 1100 millón peso buscar dueño
cronica,"el delantero le dijo adiós al pueblo sabalero con un mensaje particular. no te pierdas los detalles, en la nota",delantero decir adiós pueblo sabalero mensaje particular no perder detalle nota
cronica,el calendario de pagos de  del martes 29 de junio. ¿quiénes cobran hoy?,calendario pago martes 29 junio cobrar hoy
cronica,tragedia en chascomús: 2 muertos y 20 heridos al volcar un micro,tragedia chascomús 2 muerto 20 herido volcar micro
cronica,"malestar por el levantamiento del programa de mariana fabbiani  según informó la pavada de diario crónica, el final abrupto de ""lo de mariana"" no le cayó para nada bien a la conductora. ",malestar levantamiento programa mariana fabbiani según informar pavada diario crónica final abrupto mariana no caer bien conductora
cronica,poceados: ¡más de 1.100 millones de pesos buscan dueño!,poceado más 1100 millón peso buscar dueño
cronica,el delantero de psg fue víctima de las clásicas cargadas en la web tras fallar el penal decisivo ante suiza.,delantero psg ser víctima clásico cargado web fallar penal decisivo suiza
cronica,duros detalles del abuso a maría becerra: 5 compañeros la atacaron en el baño del colegio,duro detalle abuso maría becerro 5 compañero atacar baño colegio
cronica,"reto viral: en la imagen hay cuatro pingüinos con sombrero, ¿podes hallarlos en 15 segundos?",reto viral imagen haber cuatro pingüino sombrero poder hallar 15 segundo
cronica,"el hábil mediocampista ya estuvo cerca de ponerse la camiseta del millonario. enterate de quién se trata, en la nota",hábil mediocampista ya estar cerca poner camiseta millonario enterate tratar nota
cronica,horóscopo: ¿cuáles son los peores jefes según su signo del zodiaco?,horóscopo ser peor jefe signo zodiaco
cronica,"la provincia de buenos aires entró en alerta por un fuerte aumento de casos de covid-19, ¿habrá más restricciones?",provincia buen aire entrar alerta fuerte aumento caso covid-19 haber más restricción
cronica,"tras su salida de colón, al pulga lo quieren acompañar con un delantero codiciado por muchos. ",salida colón pulga querer acompañar delantero codiciado
cronica,"súper rico: carrot cake, la receta más simple para acompañar una infusión en invierno",súper rico carrot cake receta más simple acompañar infusión invierno
